title,price
TABL001 - TABLET 9013 ALCATEL/4G/2,"$110,66"
AUDÍFONO TCL TW10 S150 BLUETOOTH 5.0/1,"$48,56"
AUDÍFONO TCL S108 CON ESTUCHE DE CARGA/3,"$36,43"
ASPIRADORA ROBOT TCL/SWEEVA 2000M/1,"$301,82"
SUPRESOR D/PARED/MM105NXT38/3,"$27,54"
53HST03 - BARRA D/SONIDO TCL/S522W/1,"$95,98"
BARRA DE SONIDO TCL TS9030/3,"$388,38"
BARRA D/SONIDO/THUNDER SOUND/SR223G/3,"$61,65"
MAQUIN P/HUM 0.75L AC110V/60HZ 400W T400/3,"$30,81"
MICROF/INAL Y RECEPT/MICR/50-100MT/W-988/2,"$41,46"
MICROFONO INAL/50-100MT/W-28/TS-014 2PC/1,"$22,53"
"""PARLANTE RCA15"""" AL1504/ROJ/USB/TF/5000/1","$101,15"
BOTELLA DE TINTA HP GT52 CYAN MOH54AL GT/2,"$10,58"
BOTELLA DE TINTA HP GT52 MAGENTA MOH55AL/1,"$10,58"
ADAPTADOR USB 3.1 GEN 1 TIPO C MACHO/HEM/2,"$6,56"
"DUPLICA CBL D/EXT USB MHTN,AM-AH,1.8M TR/1","$1,93"
CBL HDMI MHTN.M-M 1.8M NGR 306119/3,"$4,62"
CBL USB MHTN AM-MICRO BM 3.0 1M AZL 3254/2,"$7,25"
PCH CRD INTLNET CATSE UTP. 24AWG 2M GRS/1,"$2,76"
PILA ALKALINA MAX AAX8 32874/2,"$9,26"
BM32K MELODICA FREEDOM 32 TECLAS CELESTE/1,"$21,90"
DURACELL PILA AAA BLISTER X8 X12 X4 (DIS/3,"$8,61"
DURACELL PILA AAA BLISTER X4 X12 X4 (DIS/2,"$5,28"
DURACELL PILA AA BLISTER X4 X12 X4 (DISP/1,"$5,28"
DURACELL PILA AA BLISTER X8 X12 X4 (DISP/3,"$8,61"
PILA ENERGIZER MAX AAAX8/2,"$8,97"
PILA ENERGIZER RELOJ 2032X2/3,"$2,38"
DURACELL PILA AAA BLISTER X4 (+2) X12 X4/2,"$6,76"
DURACELL PILA AA BLISTER X4 (+2) X12 X4/1,"$6,76"
CONVERTIDOR GIGABIT USB 3.0 A RJ45 FAST-/3,"$27,61"
CABLE USB MHTN AM-MICRO BM 1M. BLANCO 32/3,"$2,38"
CABLE DE MONITOR SVGA MHTN M-M 1.8M NGR/2,"$5,51"
USB HUB MHTN.C/BOLSILLO.4P.PLA 160599/1,"$9,00"
CABLE USB 2.0 IMPRESORA BLINDADO 3M 3404/3,"$2,79"
CABLE DE AUDIO 334594 3.5MM 1.8M NEGRO/2,"$2,04"
CABLE HDM1 322539 BLINDADO 10M NEGRO/1,"$22,77"
CABLE HDMI 306126 M-M BLINDADO 3M NEGRO/3,"$7,18"
CABLE USB 2.0 307178 AM-MICRO BN 1.8M NE/2,"$2,55"
CABLE DE PODER 1.80M NEGRO 300179/1,"$5,11"
KIT DE LIMPIEZA LCD 421027 . SIN ALCOHOL/3,"$8,97"
MOUSE PAD MHTN. DESCANSA MUNECAS. GEL. N/2,"$7,59"
CABLE USB 2.0 TIPO C 2M.. NEGRO 354929/1,"$7,31"
CABLE USB 2.0 TIPO C 1M.. NEGRO 353298/3,"$5,87"
CABLE USB 2.0. AM - MICRO BM. 3M.. NEGRO/2,"$3,80"
CABLE USB 2.0. AM-MICRO BM. BLINDADO. 1M/1,"$1,79"
TARJETA D/AUDIO USB 2.0. 3.5MM. E/MICRO/3,"$12,77"
MEMORIA MICRO SD HIKVISION 8GB CLASE 10/2,"$3,76"
MEMORIA MICRO SD HIKVISION 64GB CLASE 10/1,"$5,98"
PEN DRIVE HIKVISION 64GB USB -M200-64GB/3,"$4,52"
TINTA PARA IMPRESORA CYAN EPSON 65ML T54/2,"$10,12"
PEN DRIVE HIKVISION 32GB USB/1,"$4,22"
BOTELLA DE TINTA HP GT52 YELLOW MOH56AL/3,"$10,58"
BOTELLA DE TINTA HP NEGRO GT53 1VV22AL P/2,"$10,58"
BOTELLA DE TINTA EPSON T504120 NEGRA 70M/1,"$11,49"
MEMORIA MICRO SD HIKVISION 16GB CLASE 10/3,"$4,14"
HUB USB XTECH 4PUERTOS 2.0 XTC-320/2,"$5,51"
MEMORIA C141 USB 2.0 32GB YELLOW/3,"$5,97"
MEMORIA FLASH SILVER 64GB V222W/2,"$7,08"
EPSON 664 CISS BOTTLES MAGENTA L200 400P/3,"$10,12"
ANTENA PREPAGO HD DIRECTV/2,"$66,63"
CALCULADORA CIENTIFICACASIOFX-570ESPLUS2/1,"$29,67"
CALCULADORA CASIO CIENTIFICA 417 FUN FX5/3,"$24,92"
CALCULADORA DE BOLSILLO 8 DIGITOS SL310U/2,"$8,60"
CALCULADORA DE BOLSILLO 8 DIGITOS SL310U/1,"$8,60"
CALCULADORA MINI ESCRITORIO MS7UCLB/3,"$8,63"
CALCULADORA D/ESCRITORIO 12 DIGITOS MS20/2,"$11,79"
CALCULADORA D/ESCRITORIO 12 DIGITOS MS20/1,"$11,79"
CALCULADORA D/ESCRITORIO 12 DIGITOS MS20/3,"$11,79"
CALCULADORA DE BOLSILLO LC-160LV-BK/2,"$3,97"
CALCULADORA CASIO 417 FUNCIONES/2,"$28,34"
CABLE DE AUDIO DE FIBRA OPTICA 5M/3,"$2,54"
CALCULADORA CASIO 252 FUN C/ROSADO/1,"$15,03"
SOPORTE D/MESA P/TABLET/PAD01-F01/3,"$23,61"
AUDIFONOS IPHONE/3,"$2,58"
CALCULADORA CASIO 252 FUNC/BLU/3,"$15,03"
AUDÍFONOS DE INSERCION TREQA EP-747/3,"$1,44"
CALCULADORA CASIO 252 FUN C/NEGRO/2,"$15,03"
CALCULADORA CIENTIFICA CASIO 20A ED FX-3/1,"$14,34"
DISPENSADOR DE AGUA TCL TYLWYR96T/2,"$212,81"
CALCULADORA CIENTIFICA CASIO 20A ED FX-8/3,"$13,93"
CALCULADORA DE BOLSILLO CASIO C/AZUL HL-/2,"$4,20"
DISPENSADOR DE AGUA TY-LWYR91T/1,"$184,08"
CALCULADORA CASIO MX-12B-PK/3,"$7,92"
DISPENSADOR DE AGUA TCL TYLYR15/2,"$139,71"
CALCULADORA CASIO MX-12B-GN/2,"$7,92"
DISPENSADOR DE AGUA TCL TYLWYR58B/1,"$147,42"
CALCULADORA CASIO MX-12B-LB/1,"$7,92"
BOCINA INTELIGENTE/OWL/B09B9CD1YB/3,"$58,83"
CALCULADORA CASIO -12B-BK/3,"$8,03"
CALCULADORA CASIO MX-8B 8DIG/2,"$6,83"
CALCULADORA CASIO HL-4A 8DIG/1,"$3,07"
DISPOSITIVO D/STREAMING/B08C1W5N87/2,"$54,08"
CALCULADORA CASIO HL-815L-WE/3,"$4,20"
CALCULADORA CASIO HL-820LV 8DIG/2,"$4,43"
CALCULADORA 12 DIG TECLAS TAX J-120B/1,"$15,12"
CALCULADORA 12 DIG MJ-120DPLUS-BK/3,"$15,30"
